bin   asy   (+/-)err
   0.14      -0.0003907174 -0.001307996  0.0002876129
   0.1728571 0.0001888173  -0.00156192   0.001538422
   0.2057143 0.0009836138  -0.001415446  0.002886102
   0.2385714 0.001845132   -0.0008023628  0.003930363
   0.2714286 0.002653916   5.20857e-05   0.004541036
   0.3042857 0.003250949   0.0008856947  0.004503687
   0.3371429 0.003572249   0.001347203   0.004204543
   0.37      0.003547877   0.001295749   0.005138614
   0.4028571 0.003165656   0.0006336965  0.006492334
   0.4357143 0.0024356     -0.001706759  0.007801066
   0.4685714 0.001379411   -0.00440633   0.008976682
   0.5014286 4.514817e-05  -0.007358797  0.009933569
   0.5342857 -0.001513305  -0.01048611   0.01074722
   0.5671429 -0.003235699  -0.01374305   0.01129045
   0.6        -0.005059186 -0.01710126   0.01154222
