 b b b 
   0.14      -0.0003199452 -0.001314378 0.0004011125
   0.1728571 0.0001149746  -0.001315374 0.001212041
   0.2057143 0.000645457  -0.001046269 0.001975064
   0.2385714 0.001171118  -0.000545578 0.002517626
   0.2714286 0.001621868  3.14386e-05  0.00276718
   0.3042857 0.001923085  0.0005315819 0.002633089
   0.3371429 0.002051224  0.0007482829 0.002383871
   0.37      0.001974222  0.0006441589 0.003015064
   0.4028571 0.001703241  0.0001436752 0.003771801
   0.4357143 0.001240924  -0.001237258 0.004483677
   0.4685714 0.0006084076  -0.002790411 0.005100997
   0.5014286 -0.0001619169 -0.004449052 0.005598542
   0.5342857 -0.001044081  -0.00619395  0.006010033
   0.5671429 -0.00200551  -0.00799855  0.00627459
   0.6        -0.00301007   -0.009837894 0.006378648
